t_ms,phase,event_type,force_n,width_m,lift_progress_m,failure_code
0,close,no_contact,0.0,0.1,0.0,
20,close,no_contact,0.0,0.09,0.0,
40,close,no_contact,0.0,0.08,0.0,
60,close,no_contact,0.0,0.07,0.0,
80,close,no_contact,0.0,0.06,0.0,
100,close,contact_onset,0.24,0.05,0.0,
120,hold,stable_grasp,0.9,0.04,0.0,
140,hold,stable_grasp,0.9,0.03,0.0,
160,hold,stable_grasp,0.9,0.025,0.0,
180,hold,stable_grasp,0.9,0.025,0.0,
200,hold,stable_grasp,0.9,0.025,0.0,
220,hold,stable_grasp,0.9,0.025,0.0,
240,hold,stable_grasp,0.9,0.025,0.0,
260,hold,stable_grasp,0.9,0.025,0.0,
280,hold,stable_grasp,0.9,0.025,0.0,
300,hold,stable_grasp,0.9,0.025,0.0,
320,hold,stable_grasp,0.9,0.025,0.0,
340,hold,stable_grasp,0.9,0.025,0.0,
360,hold,stable_grasp,0.9,0.025,0.0,
380,hold,stable_grasp,0.9,0.025,0.0,
400,hold,stable_grasp,0.9,0.025,0.0,
420,hold,stable_grasp,0.9,0.025,0.0,
440,hold,stable_grasp,0.9,0.025,0.0,
460,hold,stable_grasp,0.9,0.025,0.0,
480,hold,stable_grasp,0.9,0.025,0.0,
500,hold,stable_grasp,0.9,0.025,0.0,
520,hold,stable_grasp,0.9,0.025,0.0,
540,hold,stable_grasp,0.9,0.025,0.0,
560,hold,stable_grasp,0.9,0.025,0.0,
580,hold,stable_grasp,0.9,0.025,0.0,
600,hold,stable_grasp,0.9,0.025,0.0,
620,hold,stable_grasp,0.9,0.025,0.0,
640,hold,stable_grasp,0.9,0.025,0.0,
660,hold,stable_grasp,0.9,0.025,0.0,
680,hold,stable_grasp,0.9,0.025,0.0,
700,hold,stable_grasp,0.9,0.025,0.0,
720,lift,lift,0.9,0.025,-0.0,
740,lift,lift,0.9,0.025,-0.0016,
760,lift,lift,0.9,0.025,-0.0032,
780,lift,lift,0.9,0.025,-0.0048,
800,lift,lift,0.9,0.025,-0.0064,
820,lift,lift,0.9,0.025,-0.008,
840,lift,lift,0.9,0.025,-0.0096,
860,lift,lift,0.9,0.025,-0.0112,
880,lift,lift,0.9,0.025,-0.0128,
900,lift,slip_detected,0.6,0.025,-0.0144,slip_after_lift
920,lift,slip_detected,0.6,0.025,-0.016,slip_after_lift
940,lift,slip_detected,0.6,0.025,-0.0176,slip_after_lift
960,lift,slip_detected,0.6,0.025,-0.0192,slip_after_lift
980,lift,slip_detected,0.6,0.025,-0.0208,slip_after_lift
