iter,rmse_m
0.000000000000000000e+00,3.805934265991456344e-02
1.000000000000000000e+00,2.900121756879646753e-02
2.000000000000000000e+00,2.628325721228630396e-02
3.000000000000000000e+00,2.467447681293835973e-02
4.000000000000000000e+00,2.328603579169088653e-02
5.000000000000000000e+00,2.190810564571112062e-02
6.000000000000000000e+00,2.080023531533677084e-02
7.000000000000000000e+00,1.988675297237675263e-02
8.000000000000000000e+00,1.909662155409997189e-02
9.000000000000000000e+00,1.833382162640322111e-02
1.000000000000000000e+01,1.764021627947148091e-02
1.100000000000000000e+01,1.701949533609197623e-02
1.200000000000000000e+01,1.637616223136114865e-02
1.300000000000000000e+01,1.570819363316040135e-02
1.400000000000000000e+01,1.517356440665306935e-02
1.500000000000000000e+01,1.470777406088832027e-02
1.600000000000000000e+01,1.420087019324159892e-02
1.700000000000000000e+01,1.365999669496561000e-02
1.800000000000000000e+01,1.313574426052174088e-02
1.900000000000000000e+01,1.268957130078875173e-02
2.000000000000000000e+01,1.218248818311238463e-02
2.100000000000000000e+01,1.157999365579081771e-02
2.200000000000000000e+01,1.075963535669772521e-02
2.300000000000000000e+01,9.541485329461257478e-03
2.400000000000000000e+01,7.666370345150570927e-03
2.500000000000000000e+01,5.585522293696032654e-03
2.600000000000000000e+01,4.758634377540359520e-03
2.700000000000000000e+01,4.675835981821634992e-03
2.800000000000000000e+01,4.671361066211035529e-03
2.900000000000000000e+01,4.671185897143230806e-03
3.000000000000000000e+01,4.671168736529169099e-03
