t,theta,theta_dot,u
0.0000,3.14159,0.00000,3.00000
0.0400,3.14159,0.12000,3.00000
0.0800,3.14639,0.23952,3.00000
0.1200,3.15597,0.36045,3.00000
0.1600,3.17039,0.48465,3.00000
0.2000,3.18978,0.61401,3.00000
0.2400,3.21434,0.75045,3.00000
0.2800,3.24436,0.89597,3.00000
0.3200,3.28019,1.05264,3.00000
0.3600,3.32230,1.22264,3.00000
0.4000,3.37121,1.40827,3.00000
0.4400,3.42754,1.61195,2.99902
0.4800,3.49201,1.83615,1.84878
0.5200,3.56546,2.03746,0.04802
0.5600,3.64696,2.19262,-1.73619
0.6000,3.73466,2.30438,-3.00000
0.6400,3.82684,2.39448,-3.00000
0.6800,3.92262,2.51323,-3.00000
0.7200,4.02315,2.65943,-3.00000
0.7600,4.12952,2.83162,-3.00000
0.8000,4.24279,3.02791,-3.00000
0.8400,4.36391,3.24572,-3.00000
0.8800,4.49373,3.48155,-3.00000
0.9200,4.63300,3.73068,-3.00000
0.9600,4.78222,3.98692,-3.00000
1.0000,4.94170,4.24242,-3.00000
1.0400,5.11140,4.48757,-3.00000
1.0800,5.29090,4.71120,-3.00000
1.1200,5.47935,4.90090,-3.00000
1.1600,5.67538,5.04384,-3.00000
1.2000,5.87714,5.12775,-3.00000
1.2400,6.08225,5.14223,-3.00000
1.2800,6.28794,5.07998,-3.00000
1.3200,6.49114,4.93779,-3.00000
1.3600,6.68865,4.71703,-3.00000
1.4000,6.87733,4.42338,-3.00000
1.4400,7.05426,4.06602,-3.00000
1.4800,7.21690,3.65629,-3.00000
1.5200,7.36316,3.20624,-3.00000
1.5600,7.49141,2.72734,-3.00000
1.6000,7.60050,2.22954,-3.00000
1.6400,7.68968,1.72076,-3.00000
1.6800,7.75851,1.20677,-3.00000
1.7200,7.80678,0.69133,-3.00000
1.7600,7.83443,0.17660,-3.00000
1.8000,7.84150,-0.33643,-1.70547
1.8400,7.82804,-0.79568,-0.00999
1.8800,7.79621,-1.18516,1.52359
1.9200,7.74881,-1.51122,2.87912
1.9600,7.68836,-1.78025,3.00000
2.0000,7.61715,-2.04015,3.00000
2.0400,7.53554,-2.29344,3.00000
2.0800,7.44381,-2.53694,3.00000
2.1200,7.34233,-2.76664,3.00000
2.1600,7.23166,-2.97772,3.00000
2.2000,7.11255,-3.16465,3.00000
2.2400,6.98597,-3.32139,3.00000
2.2800,6.85311,-3.44173,3.00000
2.3200,6.71544,-3.51969,3.00000
2.3600,6.57466,-3.54999,3.00000
2.4000,6.43266,-3.52855,3.00000
2.4400,6.29151,-3.45287,3.00000
2.4800,6.15340,-3.32233,3.00000
2.5200,6.02051,-3.13825,3.00000
2.5600,5.89498,-2.90381,3.00000
2.6000,5.77882,-2.62366,3.00000
2.6400,5.67388,-2.30353,3.00000
2.6800,5.58174,-1.94975,3.00000
2.7200,5.50375,-1.56872,3.00000
2.7600,5.44100,-1.16664,3.00000
2.8000,5.39433,-0.74920,2.91269
2.8400,5.36436,-0.32506,1.87868
2.8800,5.35136,0.06330,0.91476
2.9200,5.35389,0.41462,0.02739
2.9600,5.37048,0.72845,-0.77914
3.0000,5.39962,1.00482,-1.50232
3.0400,5.43981,1.24404,-2.14073
3.0800,5.48957,1.44652,-2.69022
3.1200,5.54743,1.61286,-3.00000
3.1600,5.61195,1.74977,-3.00000
3.2000,5.68194,1.86682,-3.00000
3.2400,5.75661,1.96133,-3.00000
3.2800,5.83506,2.03069,-3.00000
3.3200,5.91629,2.07259,-3.00000
3.3600,5.99919,2.08506,-3.00000
3.4000,6.08260,2.06666,-3.00000
3.4400,6.16526,2.01658,-3.00000
3.4800,6.24593,1.93468,-3.00000
3.5200,6.32331,1.82156,-3.00000
3.5600,6.39618,1.67853,-3.00000
3.6000,6.46332,1.50757,-3.00000
3.6400,6.52362,1.31124,-2.93714
3.6800,6.57607,1.09507,-2.52114
3.7200,6.61987,0.87655,-2.08549
3.7600,6.65493,0.65999,-1.64885
3.8000,6.68133,0.44886,-1.21879
3.8400,6.69929,0.24618,-0.80198
3.8800,6.70914,0.05451,-0.40417
3.9200,6.71132,-0.12401,-0.03024
3.9600,6.70636,-0.28764,0.31580
4.0000,6.69485,-0.43500,0.63074
4.0400,6.67745,-0.56504,0.91209
4.0800,6.65485,-0.67703,1.15812
4.1200,6.62777,-0.77050,1.36763
4.1600,6.59695,-0.84527,1.53996
4.2000,6.56314,-0.90140,1.67505
4.2400,6.52708,-0.93922,1.77336
4.2800,6.48951,-0.95928,1.83585
4.3200,6.45114,-0.96240,1.86393
4.3600,6.41264,-0.94959,1.85942
4.4000,6.37466,-0.92207,1.82457
4.4400,6.33778,-0.88125,1.76195
4.4800,6.30253,-0.82865,1.67443
4.5200,6.26938,-0.76595,1.56514
4.5600,6.23874,-0.69487,1.43738
4.6000,6.21095,-0.61716,1.29453
4.6400,6.18626,-0.53459,1.14002
4.6800,6.16488,-0.44888,0.97726
4.7200,6.14692,-0.36167,0.80954
4.7600,6.13246,-0.27454,0.64000
4.8000,6.12148,-0.18892,0.47160
4.8400,6.11392,-0.10612,0.30704
4.8800,6.10967,-0.02731,0.14878
4.9200,6.10858,0.04649,-0.00102
4.9600,6.11044,0.11443,-0.14050
5.0000,6.11502,0.17580,-0.26810
5.0400,6.12205,0.23005,-0.38256
5.0800,6.13125,0.27679,-0.48292
5.1200,6.14232,0.31575,-0.56851
5.1600,6.15495,0.34684,-0.63895
5.2000,6.16883,0.37008,-0.69410
5.2400,6.18363,0.38561,-0.73411
5.2800,6.19905,0.39370,-0.75934
5.3200,6.21480,0.39473,-0.77036
5.3600,6.23059,0.38915,-0.76793
5.4000,6.24616,0.37750,-0.75300
5.4400,6.26126,0.36040,-0.72663
5.4800,6.27567,0.33849,-0.69003
5.5200,6.28921,0.31249,-0.64447
5.5600,6.30171,0.28309,-0.59129
5.6000,6.31304,0.25104,-0.53189
5.6400,6.32308,0.21705,-0.46764
5.6800,6.33176,0.18182,-0.39993
5.7200,6.33903,0.14605,-0.33010
5.7600,6.34487,0.11035,-0.25944
5.8000,6.34929,0.07534,-0.18915
5.8400,6.35230,0.04156,-0.12036
5.8800,6.35396,0.00948,-0.05409
5.9200,6.35434,-0.02048,0.00874
5.9600,6.35352,-0.04794,0.06735
6.0000,6.35161,-0.07264,0.12106
6.0400,6.34870,-0.09433,0.16932
6.0800,6.34493,-0.11287,0.21171
6.1200,6.34041,-0.12816,0.24794
6.1600,6.33529,-0.14018,0.27782
6.2000,6.32968,-0.14894,0.30129
6.2400,6.32372,-0.15453,0.31838
6.2800,6.31754,-0.15708,0.32923
6.3200,6.31126,-0.15676,0.33406
6.3600,6.30499,-0.15379,0.33317
6.4000,6.29884,-0.14840,0.32695
6.4400,6.29290,-0.14087,0.31581
6.4800,6.28727,-0.13148,0.30022
6.5200,6.28201,-0.12055,0.28071
6.5600,6.27718,-0.10838,0.25782
6.6000,6.27285,-0.09527,0.23209
6.6400,6.26904,-0.08155,0.20410
6.6800,6.26578,-0.06751,0.17442
6.7200,6.26308,-0.05344,0.14362
6.7600,6.26094,-0.03959,0.11224
6.8000,6.25935,-0.02621,0.08082
6.8400,6.25831,-0.01352,0.04986
6.8800,6.25777,-0.00171,0.01981
6.9200,6.25770,0.00906,-0.00891
6.9600,6.25806,0.01867,-0.03592
7.0000,6.25881,0.02702,-0.06091
7.0400,6.25989,0.03404,-0.08361
7.0800,6.26125,0.03970,-0.10379
7.1200,6.26284,0.04400,-0.12128
7.1600,6.26460,0.04695,-0.13598
7.2000,6.26647,0.04862,-0.14781
7.2400,6.26842,0.04907,-0.15677
7.2800,6.27038,0.04840,-0.16289
7.3200,6.27232,0.04671,-0.16626
7.3600,6.27419,0.04414,-0.16700
7.4000,6.27595,0.04081,-0.16524
7.4400,6.27758,0.03688,-0.16110
7.4800,6.27906,0.03249,-0.15465
7.5200,6.28036,0.02779,-0.14590
7.5600,6.28147,0.02295,-0.13477
7.6000,6.28239,0.01814,-0.12120
7.6400,6.28311,0.01353,-0.10515
7.6800,6.28366,0.00930,-0.08686
7.7200,6.28403,0.00560,-0.06687
7.7600,6.28425,0.00258,-0.04612
7.8000,6.28435,0.00030,-0.02573
7.8400,6.28437,-0.00119,-0.00652
7.8800,6.28432,-0.00191,0.01186
7.9200,6.28424,-0.00187,0.03194
7.9600,6.28417,-0.00100,0.06146
8.0000,6.28413,0.00108,0.00000
