t,ref_pos,x_lqr_pos,x_lqr_vel,u_lqr,x_mpc_pos,x_mpc_vel,u_mpc
0.0000,0.00000,0.49500,-0.20000,-4.00000,0.49500,-0.20000,-4.00000
0.0500,0.01999,0.48033,-0.38694,-3.73882,0.48029,-0.38856,-3.77128
0.1000,0.03996,0.45861,-0.48188,-1.89879,0.45844,-0.48518,-1.93224
0.1500,0.05986,0.43379,-0.51067,-0.57575,0.43342,-0.51561,-0.60863
0.2000,0.07966,0.40869,-0.49362,0.34098,0.40803,-0.50012,0.30979
0.2500,0.09933,0.38518,-0.44645,0.94337,0.38417,-0.45439,0.91462
0.3000,0.11885,0.36449,-0.38111,1.30687,0.36305,-0.39034,1.28102
0.3500,0.13818,0.34730,-0.30648,1.49262,0.34537,-0.31684,1.46989
0.4000,0.15728,0.33392,-0.22900,1.54946,0.33144,-0.24034,1.52994
0.4500,0.17614,0.32436,-0.15321,1.51592,0.32130,-0.16537,1.49955
0.5000,0.19471,0.31848,-0.08211,1.42193,0.31479,-0.09494,1.40858
0.5500,0.21297,0.31599,-0.01760,1.29031,0.31164,-0.03095,1.27979
0.6000,0.23089,0.31653,0.03931,1.13814,0.31151,0.02556,1.13022
0.6500,0.24844,0.31972,0.08821,0.97788,0.31400,0.07418,0.97234
0.7000,0.26559,0.32515,0.12912,0.81835,0.31873,0.11493,0.81495
0.7500,0.28232,0.33244,0.16240,0.66552,0.32531,0.14813,0.66404
0.8000,0.29860,0.34121,0.18856,0.52321,0.33337,0.17430,0.52342
0.8500,0.31440,0.35113,0.20824,0.39358,0.34258,0.19406,0.39528
0.9000,0.32969,0.36189,0.22212,0.27760,0.35263,0.20809,0.28061
0.9500,0.34446,0.37322,0.23089,0.17538,0.36326,0.21707,0.17954
1.0000,0.35868,0.38487,0.23521,0.08645,0.37423,0.22165,0.09162
1.0500,0.37232,0.39664,0.23571,0.00996,0.38533,0.22245,0.01601
1.1000,0.38537,0.40836,0.23295,-0.05515,0.39639,0.22004,-0.04833
1.1500,0.39780,0.41987,0.22745,-0.11006,0.40727,0.21491,-0.10256
1.2000,0.40960,0.43105,0.21965,-0.15597,0.41783,0.20752,-0.14786
1.2500,0.42074,0.44179,0.20995,-0.19404,0.42797,0.19825,-0.18540
1.3000,0.43120,0.45200,0.19868,-0.22537,0.43761,0.18743,-0.21625
1.3500,0.44098,0.46162,0.18613,-0.25095,0.44668,0.17536,-0.24140
1.4000,0.45005,0.47059,0.17255,-0.27167,0.45512,0.16228,-0.26174
