regime,trial,mass,length,damping,gravity,final_theta_deg,peak_torque,success
nominal_only,0,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,1,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,2,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,3,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,4,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,5,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,6,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,7,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,8,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,9,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,10,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,11,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,12,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,13,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,14,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,15,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,16,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,17,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,18,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,19,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,20,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,21,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,22,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,23,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,24,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,25,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,26,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,27,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,28,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,29,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,30,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,31,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,32,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,33,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,34,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,35,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,36,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,37,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,38,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,39,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,40,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,41,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,42,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,43,1.0,0.5,0.1,9.81,45.0,8.0,1
nominal_only,44,1.0,0.5,0.1,9.81,45.0,8.0,1
