t,truth_theta,meas_theta,fit_theta
0.0,0.0,0.001317,0.0
0.02,5.1e-05,-0.001332,5.1e-05
0.04,0.000205,0.006912,0.000205
0.06,0.000515,0.001614,0.000515
0.08,0.001034,-0.004576,0.001034
0.1,0.001812,0.005599,0.001812
0.12,0.0029,0.016556,0.0029
0.14,0.004345,0.014262,0.004343
0.16,0.006188,-0.001182,0.006186
0.18,0.008469,-0.004783,0.008466
0.2,0.01122,0.004693,0.011216
0.22,0.014466,0.014899,0.01446
0.24,0.018225,-0.006122,0.018217
0.26,0.022507,0.020215,0.022496
0.28,0.027308,0.014261,0.027294
0.3,0.032619,0.024951,0.032601
0.32,0.038414,0.032714,0.038391
0.34,0.044658,0.041345,0.04463
0.36,0.051301,0.055612,0.051267
0.38,0.058282,0.069199,0.058241
0.4,0.065525,0.064179,0.065476
0.42,0.07294,0.08725,0.072883
0.44,0.080428,0.073462,0.080361
0.46,0.087874,0.091555,0.087797
0.48,0.095155,0.104616,0.095068
0.5,0.102137,0.103122,0.102039
0.52,0.108682,0.100896,0.108573
0.54,0.114643,0.104991,0.114523
0.56,0.119876,0.115082,0.119744
0.58,0.124233,0.126539,0.12409
0.6,0.127575,0.117002,0.127421
0.62,0.129769,0.127579,0.129605
0.64,0.130695,0.129028,0.130522
0.66,0.130249,0.135913,0.130068
0.68,0.128349,0.130597,0.128161
0.7,0.124934,0.128655,0.124741
0.72,0.119972,0.113126,0.119777
0.74,0.113464,0.112107,0.113268
0.76,0.105441,0.11365,0.105247
0.78,0.095969,0.111608,0.095779
0.8,0.085151,0.071966,0.084969
0.82,0.073123,0.088977,0.072952
0.84,0.060057,0.074151,0.059899
0.86,0.046153,0.054335,0.046011
0.88,0.031637,0.034407,0.031515
0.9,0.016758,0.013471,0.016659
0.92,0.001778,0.017046,0.001704
0.94,-0.013036,0.007491,-0.013081
0.96,-0.027418,-0.008551,-0.027432
0.98,-0.041112,-0.027341,-0.041094
1.0,-0.053884,-0.050142,-0.053831
1.02,-0.065527,-0.07818,-0.065438
1.04,-0.075871,-0.075918,-0.075745
1.06,-0.084791,-0.077916,-0.084628
1.08,-0.092209,-0.1057,-0.092009
1.1,-0.098098,-0.093961,-0.097862
1.12,-0.102486,-0.097985,-0.102215
1.14,-0.10545,-0.098161,-0.105144
1.16,-0.107111,-0.119511,-0.106774
1.18,-0.107631,-0.114561,-0.107266
1.2,-0.107201,-0.111772,-0.106809
1.22,-0.106028,-0.118279,-0.105613
1.24,-0.104324,-0.086109,-0.103889
1.26,-0.10229,-0.107483,-0.101839
1.28,-0.100106,-0.096661,-0.099643
1.3,-0.097915,-0.100623,-0.097444
1.32,-0.095815,-0.079233,-0.09534
1.34,-0.093852,-0.080025,-0.093375
1.36,-0.092011,-0.085379,-0.091537
1.38,-0.090226,-0.113301,-0.089758
1.4,-0.088376,-0.087832,-0.087919
1.42,-0.086302,-0.079143,-0.085858
1.44,-0.083815,-0.073302,-0.083388
