time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,finger_joint1,finger_joint2
0.000000,0.000018,-0.002879,0.000024,-0.011109,0.000067,0.000370,0.000565,0.001774,0.001782
0.100000,-0.000031,-0.114506,-0.000034,-0.259930,-0.000007,0.029625,0.036783,0.025802,0.025793
0.200000,0.000105,-0.259398,0.000148,-0.713736,0.000221,0.103072,0.126804,0.035222,0.035245
0.300000,0.000040,-0.298355,0.000093,-1.254628,0.000039,0.221965,0.268178,0.038428,0.038418
0.400000,-0.000055,-0.293871,0.000007,-1.621917,-0.000296,0.394924,0.458541,0.039501,0.039476
0.500000,-0.000042,-0.293104,0.000043,-1.820818,-0.000444,0.618220,0.678662,0.039854,0.039842
0.600000,-0.000021,-0.293083,0.000077,-1.862494,-0.000498,0.884237,0.843974,0.039961,0.039961
0.700000,-0.000020,-0.292598,0.000079,-1.756012,-0.000495,1.141577,0.946114,0.039990,0.039996
0.800000,-0.000014,-0.295848,0.000056,-1.595147,-0.000300,1.325796,0.987983,0.039997,0.040000
0.900000,-0.000001,-0.297259,0.000066,-1.535580,-0.000247,1.442564,0.972344,0.040000,0.040000
1.000000,-0.000000,-0.297096,0.000069,-1.515474,-0.000261,1.490323,0.901893,0.040000,0.040000
1.100000,0.000007,-0.296793,0.000083,-1.508695,-0.000277,1.470405,0.829569,0.040000,0.040000
1.200000,0.000007,-0.296584,0.000085,-1.506422,-0.000285,1.385457,0.809162,0.040000,0.040000
1.300000,0.000003,-0.296408,0.000079,-1.505809,-0.000291,1.260645,0.803194,0.040000,0.040000
1.400000,-0.000000,-0.296358,0.000076,-1.505622,-0.000296,1.177953,0.801115,0.040000,0.040000
1.500000,-0.000001,-0.296382,0.000075,-1.505515,-0.000298,1.143226,0.800390,0.040000,0.040000
1.600000,-0.000001,-0.296400,0.000075,-1.505468,-0.000299,1.154571,0.800138,0.040000,0.040000
1.700000,-0.000000,-0.296418,0.000076,-1.505359,-0.000296,1.183136,0.800047,0.040000,0.040000
1.800000,0.000000,-0.296421,0.000076,-1.505336,-0.000296,1.193411,0.800016,0.040000,0.040000
1.900000,0.000000,-0.296416,0.000076,-1.505343,-0.000296,1.196976,0.800005,0.040000,0.040000
2.000000,0.000000,-0.296412,0.000076,-1.505351,-0.000296,1.198213,0.800002,0.040000,0.040000
2.100000,0.000000,-0.296410,0.000076,-1.505355,-0.000296,1.198642,0.800000,0.040000,0.040000
2.200000,0.000000,-0.296410,0.000076,-1.505357,-0.000296,1.198791,0.800000,0.040000,0.040000
2.300000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198843,0.800000,0.040000,0.040000
2.400000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198860,0.800000,0.040000,0.040000
2.500000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198866,0.800000,0.040000,0.040000
2.600000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
2.700000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
2.800000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
2.900000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.000000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.100000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.200000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.300000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.400000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.500000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.600000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.700000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.800000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
3.900000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.000000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.100000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.200000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.300000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.400000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.500000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.600000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.700000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.800000,-0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
4.900000,0.000000,-0.296409,0.000076,-1.505358,-0.000296,1.198869,0.800000,0.040000,0.040000
