task,step,success_rate,mean_state_dist,mean_visual_dist,mean_proprio_dist
PushT,1,0.76,35.343929290771484,2.7344066220238097,11.813048362731934
PushT,2,0.82,33.0256462097168,2.6396744791666666,11.026860237121582
PushT,3,0.84,33.26328659057617,2.630974170918367,11.0443115234375
PushT,4,0.86,33.48637771606445,2.6367982036564626,11.279867172241211
PushT,5,0.86,33.14219665527344,2.628123405612245,10.993437767028809
Wall,1,0.52,6.5518169419365595,0.942700982093811,4.18521785736084
Wall,2,0.88,3.404559814829396,0.6768186092376709,2.1391913890838623
Wall,3,0.92,3.0128425868020243,0.6400939226150513,1.888251781463623
Wall,4,0.92,2.8249097721663934,0.6429058313369751,1.813928246498108
Wall,5,0.94,2.692488223061446,0.6271273493766785,1.6947840452194214
